_,Id,Name,RecordTypeId,hed__Description__c,hed__End_Date__c,hed__Is_Primary__c,hed__Start_Date__c,hed__Status__c,hed__Total_Required_Credits__c,Accreditation_End_Date__c,Accreditation_Start_Date__c,Blue_Card_Required__c,Certificate_Type__c,Code__c,Collaboration_with_External_Organisation__c,Completion_Requirements__c,Core_Conceptsv2__c,Courseloop_Full_URL__c,Courseloop_Initital_URL__c,Delivery_Type__c,Designated_Units__c,Early_Exit_Options__c,Evolve_with_QUTeXv2__c,External_Organisation_Details__c,Field_of_Education__c,Implementation_Year__c,IsComplete__c,Location_Details__c,Location__c,Mark_Design_Stage_as_Complete__c,Maximum_Participants__c,Minimum_Participants__c,More_Detailsv2__c,OPE_Design_Complete__c,Other_Completion_Requirements__c,Overviewv2__c,Owning_Faculty__c,PP_Design_Form_Status__c,PP_Is_curriculum_approved__c,Product_Request__c,Program_Delivery_Structure__c,Program_Type__c,Type__c,Volume_of_Learning_Hours__c,Who_Should_Participatev2__c,LogoUrl__c,Description__c
[hed__Program_Plan__c],a0KBn000008KdztMAC,Automation Testing Course_984,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008KfATMA0,Enterprise Leadership Program Test7575 b9261a1,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008KfGvMAK,Enterprise Leadership Program Test7576 d6d2576,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,Certificate of Participation,,,,Core Concepts 269a2,,,Virtual Classroom,,,Evolve  bd928,,,,FALSE,,,FALSE,,,More Details ca341,FALSE,,Overview 9537c,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,22,Participants  e8dd2,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description  5713f
[hed__Program_Plan__c],a0KBn000008KxtmMAC,Automation Testing Plan_862,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008Ky6fMAC,Automation Testing Course_406,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008KycxMAC,Enterprise Leadership Program Test7576 25a484b,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,Certificate of Participation,,,,Core Concepts 8fcc8,,,Virtual Classroom,,,Evolve  59e2a,,,,FALSE,,,FALSE,,,More Details 88f2a,FALSE,,Overview e58a4,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,22,Participants  afcf2,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description  532dd
[hed__Program_Plan__c],a0KBn000008KzIrMAK,Enterprise Leadership Program Test7575 4c3dfe4,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-27,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008JQDVMA4,Automation Testing Course_144,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-25,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008L7zZMAS,Automation Testing Plan_996,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-28,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008L8IvMAK,Automation Testing Course_368,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-28,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008L9QHMA0,Automation Program_800,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-28,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008LZXdMAO,Auto Test Course T5555 - 5006421,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-29,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008LaALMA0,Automation Testing Course_081,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-29,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008LwyrMAC,Auto Test Course T5555 - 1211052,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-30,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008LyhJMAS,Automation Program_675,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-30,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008MHvFMAW,Auto Test Course T5555 - 8094667,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-31,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008MIxmMAG,Enterprise Leadership Program Test7575 0a59da4,0128q0000004Kp0AAE,,2024-04-26,FALSE,2024-03-31,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0K8q000000nCsLEAU,Sime Darby Enterprise Executive Program 2023/24,0128q0000004LGBAA2,,2024-08-01,FALSE,2023-07-06,Current,,,,FALSE,Certificate of Participation,EXCPWP0609,No,,,,,Face To Face,,,,,,2023,FALSE,,a0F8q000000JDODEA4,TRUE,15,0,,FALSE,,a,0019h000001wVUIAA2,,FALSE,a0z9200000038FZAAY,Prescribed Program,Open or Custom Program,Non Award Course - Foundation,72,,https://qut360.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00D5g000001FDGjEAO,a
[hed__Program_Plan__c],a0KBn000008MYG9MAO,Auto Test Course T5555 - 2734164,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-01,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008MsTPMA0,Auto Test Course T5555 - 9146339,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-02,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008N7kAMAS,Auto Test Course T5555 - 4448370,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-02,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NA8XMAW,Automation Testing Plan_136,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-02,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NAEzMAO,Automation Testing Plan_373,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-02,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NAOfMAO,Automation Testing Course_100,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-02,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NEdaMAG,Auto Test Course T5555 - 5518726,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-03,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NFOLMA4,Automation Testing Course_639,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-03,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NHErMAO,Automation Program_132,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-03,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NOQ1MAO,Test Auto Parent Course T5555 - 7572764,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-03,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NPYzMAO,Enterprise Leadership Program Test7575 7ca37a4,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-03,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NPqjMAG,Enterprise Leadership Program Test7576 b14367b,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-03,Current,,,,FALSE,Certificate of Participation,,,,Core Concepts fa542,,,Virtual Classroom,,,Evolve  37dc8,,,,FALSE,,,FALSE,,,More Details 0eece,FALSE,,Overview ae133,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,22,Participants  2b38e,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description  b8b8c
[hed__Program_Plan__c],a0KBn000008Ncj8MAC,Test Auto Parent Course T5555 - 4121225,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-04,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NdVWMA0,Enterprise Leadership Program Test7575 2d0374c,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-04,Current,,,,FALSE,,EXCP0616,,,Core Concepts 9Y1NY,www.KAGW7S_courseLoop.testnet,,,,,EvolveWith QUTex 9Y1LB,,,2025,FALSE,,,TRUE,,,More Details LUK9Y1P776,TRUE,,Overview 9Y1JZ,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators 9Y1MN,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUK9Y1QI
[hed__Program_Plan__c],a0KBn000008Ne09MAC,Enterprise Leadership Program Test7576 6dd41de,0128q0000004Kp0AAE,,2024-08-01,FALSE,2024-04-04,Current,,,,FALSE,Certificate of Participation,,,,Core Concepts 4964c,,,Virtual Classroom,,,Evolve  5e9b3,,,,FALSE,,,FALSE,,,More Details 1e1af,FALSE,,Overview 18408,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,22,Participants  fff2d,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description  d7b15
[hed__Program_Plan__c],a0KBn000008NkokMAC,Test Auto Parent Course T5555 - 0164768,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-04,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NmDqMAK,Test Auto Parent Course T5555 - 7659038,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-04,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
