Action_Required__c,Administrative_Support__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,End_Date__c,Errors,Evaluation_Summary__c,Evaluation_Type__c,External_Id__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,Facility__c,hed_Capacity__c,hed_Program_Plan__c,IsActive__c,LMS_Quality__c,Migration_Id__c,Migration_Key__c,Minimum_Participants__c,Name,Overall_Experience__c,Peer_Engagement__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c
,,,,Online Classroom,,,2024-11-08,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0626-2024068-1,,,,2024-06-08,2024-05-08,2024-06-08,,,false
,,0,,Brisbane Classroom,,,2024-08-08,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0627-2024068-1,,,,2024-04-12,2024-04-07,2024-06-08,1,,false
,,,,Online Classroom,,,2024-11-08,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0630-2024068-1,,,,2024-06-08,2024-05-08,2024-06-08,,,false
,,0,,Brisbane Classroom,,,2024-08-09,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0631-2024069-1,,,,2024-04-13,2024-04-08,2024-06-09,1,,false
,,,,Online Classroom,,,2024-11-09,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0634-2024069-1,,,,2024-06-09,2024-05-09,2024-06-09,,,false
,,0,,Brisbane Classroom,,,2024-08-10,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0635-20240610-1,,,,2024-04-14,2024-04-09,2024-06-10,1,,false
,,0,,Brisbane Classroom,,,2024-08-11,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0638-20240611-1,,,,2024-04-15,2024-04-10,2024-06-11,1,,false
,,0,,Brisbane Classroom,,,2024-08-11,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0639-20240611-1,,,,2024-04-15,2024-04-10,2024-06-11,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-11,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0640-20240611-1,2,2,2,2024-08-10,2024-04-10,2024-06-11,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-11,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0642-20240611-1,2,2,2,2024-08-10,2024-04-10,2024-06-11,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-12,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0645-20240612-1,2,2,2,2024-08-11,2024-04-11,2024-06-12,1,,false
,,,,Online Classroom,,,2024-11-12,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0646-20240612-1,,,,2024-06-12,2024-05-12,2024-06-12,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-12,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0650-20240612-1,2,2,2,2024-08-11,2024-04-11,2024-06-12,1,,false
,,,,Online Classroom,,,2024-11-12,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0651-20240612-1,,,,2024-06-12,2024-05-12,2024-06-12,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-14,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0654-20240614-1,2,2,2,2024-08-13,2024-04-13,2024-06-14,1,,false
,,,,Online Classroom,,,2024-11-14,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0655-20240614-1,,,,2024-06-14,2024-05-14,2024-06-14,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-15,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0659-20240615-1,2,2,2,2024-08-14,2024-04-14,2024-06-15,1,,false
,,,,Online Classroom,,,2024-11-15,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0660-20240615-1,,,,2024-06-15,2024-05-15,2024-06-15,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-15,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0664-20240615-1,2,2,2,2024-08-14,2024-04-14,2024-06-15,1,,false
,,,,Online Classroom,,,2024-11-15,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0665-20240615-1,,,,2024-06-15,2024-05-15,2024-06-15,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-15,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0666-20240615-1,2,2,2,2024-08-14,2024-04-14,2024-06-15,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-16,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0667-20240616-1,2,2,2,2024-04-20,2024-04-15,2024-06-16,1,,false
,,,,Online Classroom,,,2024-11-16,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0668-20240616-1,,,,2024-06-16,2024-05-16,2024-06-16,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-16,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0672-20240616-1,2,2,2,2024-08-15,2024-04-15,2024-06-16,1,,false
,,,,Online Classroom,,,2024-11-16,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0673-20240616-1,,,,2024-06-16,2024-05-16,2024-06-16,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-17,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0675-20240617-1,2,2,2,2024-08-16,2024-04-16,2024-06-17,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-17,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0676-20240617-1,2,2,2,2024-08-16,2024-04-16,2024-06-17,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-17,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0677-20240617-1,2,2,2,2024-08-16,2024-04-16,2024-06-17,1,,false
,,0,,Brisbane Classroom,,,2024-08-18,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240618-1,,,,2024-04-22,2024-04-17,2024-06-18,1,,false
,,0,,Brisbane Classroom,,,2024-08-18,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240618-1,,,,2024-04-22,2024-04-17,2024-06-18,1,,false
,,0,,Brisbane Classroom,,,2024-08-19,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240619-1,,,,2024-04-23,2024-04-18,2024-06-19,1,,false
,,0,,Brisbane Classroom,,,2024-08-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240620-1,,,,2024-04-24,2024-04-19,2024-06-20,1,,false
,,,,Online Classroom,,,2024-11-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,null-20240620-1,,,,2024-06-20,2024-05-20,2024-06-20,,,false
,,0,,Brisbane Classroom,,,2024-08-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240620-1,,,,2024-04-24,2024-04-19,2024-06-20,1,,false
,,,,Online Classroom,,,2024-11-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,null-20240620-1,,,,2024-06-20,2024-05-20,2024-06-20,,,false
,,0,,Brisbane Classroom,,,2024-08-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240620-1,,,,2024-04-24,2024-04-19,2024-06-20,1,,false
,,,,Online Classroom,,,2024-11-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,null-20240620-1,,,,2024-06-20,2024-05-20,2024-06-20,,,false
,,0,,Brisbane Classroom,,,2024-08-21,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240621-1,,,,2024-04-25,2024-04-20,2024-06-21,1,,false
,,,,Online Classroom,,,2024-11-21,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,null-20240621-1,,,,2024-06-21,2024-05-21,2024-06-21,,,false
,,0,,Brisbane Classroom,,,2024-08-21,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240621-1,,,,2024-04-25,2024-04-20,2024-06-21,1,,false
,,,,Online Classroom,,,2024-11-21,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,null-20240621-1,,,,2024-06-21,2024-05-21,2024-06-21,,,false
,,0,,Brisbane Classroom,,,2024-08-22,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240622-1,,,,2024-04-26,2024-04-21,2024-06-22,1,,false
,,0,,Brisbane Classroom,,,2024-08-24,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240624-1,,,,2024-10-24,2024-04-23,2024-06-24,1,,false
,,,,Online Classroom,,,2024-11-24,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,null-20240624-1,,,,2024-06-24,2024-05-24,2024-06-24,,,false
,,0,,Brisbane Classroom,,,2024-08-24,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,null-20240624-1,,,,2024-10-24,2024-04-23,2024-06-24,1,,false
,,,,Online Classroom,,,2024-11-24,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,null-20240624-1,,,,2024-06-24,2024-05-24,2024-06-24,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-25,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0680-20240625-1,2,2,2,2024-10-25,2024-04-24,2024-06-25,1,,false
,,,,Online Classroom,,,2024-11-25,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0681-20240625-1,,,,2024-06-25,2024-05-25,2024-06-25,,,false
,,,,Online Classroom,,,2024-11-25,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0682-20240625-1,,,,2024-06-25,2024-05-25,2024-06-25,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-25,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0683-20240625-1,2,2,2,2024-10-25,2024-04-24,2024-06-25,1,,false
,,,,Online Classroom,,,2024-11-25,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0684-20240625-1,,,,2024-06-25,2024-05-25,2024-06-25,,,false
,,,,Online Classroom,,,2024-11-26,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0689-20240626-1,,,,2024-06-26,2024-05-26,2024-06-26,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-26,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0688-20240626-1,2,2,2,2024-10-26,2024-04-25,2024-06-26,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-26,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0690-20240626-1,2,2,2,2024-10-26,2024-04-25,2024-06-26,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-26,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0691-20240626-1,2,2,2,2024-10-26,2024-04-25,2024-06-26,1,,false
,,,,Online Classroom,,,2024-11-26,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0692-20240626-1,,,,2024-06-26,2024-05-26,2024-06-26,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-27,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0697-20240627-1,2,2,2,2024-10-27,2024-04-26,2024-06-27,1,,false
,,,,Online Classroom,,,2024-11-27,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0698-20240627-1,,,,2024-06-27,2024-05-27,2024-06-27,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-27,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0702-20240627-1,2,2,2,2024-10-27,2024-04-26,2024-06-27,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-27,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0703-20240627-1,2,2,2,2024-10-27,2024-04-26,2024-06-27,1,,false
,,,,Online Classroom,,,2024-11-27,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0704-20240627-1,,,,2024-06-27,2024-05-27,2024-06-27,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-28,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0708-20240628-1,2,2,2,2024-10-28,2024-04-27,2024-06-28,1,,false
,,,,Online Classroom,,,2024-11-28,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0709-20240628-1,,,,2024-06-28,2024-05-28,2024-06-28,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-28,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0713-20240628-1,2,2,2,2024-10-28,2024-04-27,2024-06-28,1,,false
,,,,Online Classroom,,,2024-11-28,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0714-20240628-1,,,,2024-06-28,2024-05-28,2024-06-28,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-29,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0721-20240629-1,2,2,2,2024-10-29,2024-04-28,2024-06-29,1,,false
,,,,Online Classroom,,,2024-11-29,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0722-20240629-1,,,,2024-06-29,2024-05-29,2024-06-29,,,false
,,,,Online Classroom,,,2024-11-29,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0727-20240629-1,,,,2024-06-29,2024-05-29,2024-06-29,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-29,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0726-20240629-1,2,2,2,2024-10-29,2024-04-28,2024-06-29,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-08-30,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0731-20240630-1,2,2,2,2024-10-30,2024-04-29,2024-06-30,1,,false
,,,,Online Classroom,,,2024-11-30,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0732-20240630-1,,,,2024-06-30,2024-05-30,2024-06-30,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-01,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0736-2024071-1,2,2,2,2024-11-01,2024-04-30,2024-07-01,1,,false
,,,,Online Classroom,,,2024-12-01,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0737-2024071-1,,,,2024-07-01,2024-06-01,2024-07-01,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-02,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0741-2024072-1,2,2,2,2024-11-02,2024-05-01,2024-07-02,1,,false
,,,,Online Classroom,,,2024-12-02,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0742-2024072-1,,,,2024-07-02,2024-06-02,2024-07-02,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-03,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0746-2024073-1,2,2,2,2024-11-03,2024-05-02,2024-07-03,1,,false
,,,,Online Classroom,,,2024-12-03,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0747-2024073-1,,,,2024-07-03,2024-06-03,2024-07-03,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-04,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0750-2024074-1,2,2,2,2024-11-04,2024-05-03,2024-07-04,1,,false
,,,,Online Classroom,,,2024-12-04,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0751-2024074-1,,,,2024-07-04,2024-06-04,2024-07-04,,,false
,,0,,Brisbane Classroom,,,2024-09-05,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0756-2024075-1,,,,2024-11-05,2024-05-04,2024-07-05,1,,false
,,,,Online Classroom,,,2024-12-05,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0757-2024075-1,,,,2024-07-05,2024-06-05,2024-07-05,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-05,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0758-2024075-1,2,2,2,2024-11-05,2024-05-04,2024-07-05,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-06,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0764-2024076-1,2,2,2,2024-11-06,2024-05-05,2024-07-06,1,,false
,,,,Online Classroom,,,2024-12-06,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0765-2024076-1,,,,2024-07-06,2024-06-06,2024-07-06,,,false
,,,,Online Classroom,,,2024-12-07,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0770-2024077-1,,,,2024-07-07,2024-06-07,2024-07-07,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-07,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0769-2024077-1,2,2,2,2024-11-07,2024-05-06,2024-07-07,1,,false
,,,,Online Classroom,,,2024-12-08,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0774-2024078-1,,,,2024-07-08,2024-06-08,2024-07-08,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-08,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0773-2024078-1,2,2,2,2024-11-08,2024-05-07,2024-07-08,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-09,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0779-2024079-1,2,2,2,2024-11-09,2024-05-08,2024-07-09,1,,false
,,,,Online Classroom,,,2024-12-09,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0780-2024079-1,,,,2024-07-09,2024-06-09,2024-07-09,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-11,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0784-20240711-1,2,2,2,2024-11-11,2024-05-10,2024-07-11,1,,false
,,,,Online Classroom,,,2024-12-11,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0785-20240711-1,,,,2024-07-11,2024-06-11,2024-07-11,,,false
,,0,,Brisbane Classroom,,,2024-09-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0788-20240720-1,,,,2024-11-20,2024-05-19,2024-07-20,1,,false
,,0,,Brisbane Classroom,,,2024-09-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0787-20240720-1,,,,2024-11-20,2024-05-19,2024-07-20,1,,false
