Country_Name__c,Tier_Category__c,IsActive__c
Iceland,Developed Nations,TRUE
India,Tier 1,TRUE
Indonesia,Tier 2,TRUE
Iran (Islamic Republic of),Untiered - Unrestricted,TRUE
Iraq,Untiered - Unrestricted,TRUE
Ireland,Developed Nations,TRUE
Isle of Man,Untiered - Unrestricted,TRUE
Israel,Untiered - Unrestricted,TRUE
Italy,Developed Nations,TRUE
Jamaica,Untiered - Unrestricted,TRUE
Japan,Tier 2,TRUE
Jersey,Untiered - Unrestricted,TRUE
Jordan,Untiered - Unrestricted,TRUE
Kazakhstan,Untiered - Unrestricted,TRUE
Kenya,Untiered - Unrestricted,TRUE
Kiribati,Untiered - Unrestricted,TRUE
Korea (the Democratic People's Republic of),Untiered - Unrestricted,TRUE
Korea (the Republic of),Tier 2,TRUE
Kosovo,Untiered - Unrestricted,TRUE
Kuwait,Untiered - Unrestricted,TRUE
Kyrgyzstan,Untiered - Unrestricted,TRUE
Lao People's Democratic Republic (the),Untiered - Unrestricted,TRUE
Latvia,Untiered - Unrestricted,TRUE
Lebanon,Untiered - Unrestricted,TRUE
Lesotho,Untiered - Unrestricted,TRUE
Liberia,Untiered - Unrestricted,TRUE
Libya,Untiered - Unrestricted,TRUE
Liechtenstein,Developed Nations,TRUE
Lithuania,Untiered - Unrestricted,TRUE
Luxembourg,Developed Nations,TRUE
Macao,Untiered - Unrestricted,TRUE
Madagascar,Untiered - Unrestricted,TRUE
Malawi,Untiered - Unrestricted,TRUE
Malaysia,Tier 1,TRUE
Maldives,Untiered - Unrestricted,TRUE
Mali,Untiered - Unrestricted,TRUE
Malta,Untiered - Unrestricted,TRUE
Marshall Islands (the),Untiered - Unrestricted,TRUE
Martinique,Untiered - Unrestricted,TRUE
Mauritania,Untiered - Unrestricted,TRUE
Mauritius,Untiered - Unrestricted,TRUE
Mayotte,Untiered - Unrestricted,TRUE
Mexico,Untiered - Unrestricted,TRUE
Micronesia (Federated States of),Untiered - Unrestricted,TRUE
Moldova (the Republic of),Untiered - Unrestricted,TRUE
Monaco,Developed Nations,TRUE
Mongolia,Tier 3,TRUE
Montenegro,Developed Nations,TRUE
Montserrat,Untiered - Unrestricted,TRUE
Morocco,Untiered - Unrestricted,TRUE
Mozambique,Untiered - Unrestricted,TRUE
Myanmar,Untiered - Unrestricted,TRUE
Namibia,Untiered - Unrestricted,TRUE
Nauru,Untiered - Unrestricted,TRUE
Nepal,Tier 3,TRUE
Netherlands (the),Developed Nations,TRUE
New Caledonia,Untiered - Unrestricted,TRUE
New Zealand,Tier 1,TRUE
Nicaragua,Untiered - Unrestricted,TRUE
Niger (the),Untiered - Unrestricted,TRUE
Nigeria,Untiered - Unrestricted,TRUE
Niue,Untiered - Unrestricted,TRUE
Norfolk Island,Untiered - Unrestricted,TRUE
North Macedonia,Untiered - Unrestricted,TRUE
Northern Mariana Islands (the),Untiered - Unrestricted,TRUE
Norway,Tier 1,TRUE
Oman,Developed Nations,TRUE
Other Former Ussr And Baltic States,Untiered - Unrestricted,TRUE
Other Former Yugoslavia,Untiered - Unrestricted,TRUE
Pakistan,Tier 3,TRUE
Palau,Untiered - Unrestricted,TRUE
"Palestine, State of",Untiered - Unrestricted,TRUE
Panama,Untiered - Unrestricted,TRUE
Papua New Guinea,Tier 3,TRUE
Paraguay,Untiered - Unrestricted,TRUE
Peru,Untiered - Unrestricted,TRUE
Philippines (the),Tier 2,TRUE
Pitcairn,Untiered - Unrestricted,TRUE
Poland,Untiered - Unrestricted,TRUE
Portugal,Untiered - Unrestricted,TRUE
Puerto Rico,Untiered - Unrestricted,TRUE
Qatar,Untiered - Unrestricted,TRUE
Réunion,Untiered - Unrestricted,TRUE
Romania,Untiered - Unrestricted,TRUE
Russian Federation (the),Untiered - Unrestricted,TRUE
Rwanda,Untiered - Unrestricted,TRUE
Saint Barthélemy,Untiered - Unrestricted,TRUE
"Saint Helena, Ascension and Tristan da Cunha",Untiered - Unrestricted,TRUE
Saint Kitts and Nevis,Untiered - Unrestricted,TRUE
Saint Lucia,Untiered - Unrestricted,TRUE
Saint Martin (French part),Untiered - Unrestricted,TRUE
Saint Pierre and Miquelon,Untiered - Unrestricted,TRUE
Saint Vincent and the Grenadines,Untiered - Unrestricted,TRUE
Samoa,Untiered - Unrestricted,TRUE
San Marino,Untiered - Unrestricted,TRUE
Sao Tome and Principe,Untiered - Unrestricted,TRUE
Saudi Arabia,Tier 2,TRUE
Scotland,Developed Nations,TRUE
Senegal,Untiered - Unrestricted,TRUE
Serbia,Untiered - Unrestricted,TRUE
Seychelles,Untiered - Unrestricted,TRUE
Sierra Leone,Untiered - Unrestricted,TRUE
Singapore,Tier 2,TRUE
Sint Maarten (Dutch part),Untiered - Unrestricted,TRUE
Slovakia,Untiered - Unrestricted,TRUE
Slovenia,Untiered - Unrestricted,TRUE
Solomon Islands,Untiered - Unrestricted,TRUE
Somalia,Untiered - Unrestricted,TRUE
South Africa,Untiered - Unrestricted,TRUE
South Georgia and the South Sandwich Islands,Untiered - Unrestricted,TRUE
South Sudan,Untiered - Unrestricted,TRUE
Spain,Untiered - Unrestricted,TRUE
Sri Lanka,Tier 2,TRUE
Sudan (the),Untiered - Unrestricted,TRUE
Suriname,Untiered - Unrestricted,TRUE
Svalbard and Jan Mayen,Untiered - Unrestricted,TRUE
Sweden,Untiered - Unrestricted,TRUE
Switzerland,Developed Nations,TRUE
Syrian Arab Republic (the),Untiered - Unrestricted,TRUE
Taiwan,Tier 1,TRUE
Tajikistan,Untiered - Unrestricted,TRUE
"Tanzania, the United Republic of",Untiered - Unrestricted,TRUE
Thailand,Tier 2,TRUE
Timor-Leste,Untiered - Unrestricted,TRUE
Togo,Untiered - Unrestricted,TRUE
Tokelau,Untiered - Unrestricted,TRUE
Tonga,Untiered - Unrestricted,TRUE
Trinidad and Tobago,Untiered - Unrestricted,TRUE
Tunisia,Untiered - Unrestricted,TRUE
Turkey,Untiered - Unrestricted,TRUE
Turkmenistan,Untiered - Unrestricted,TRUE
Turks and Caicos Islands (the),Untiered - Unrestricted,TRUE
Tuvalu,Untiered - Unrestricted,TRUE
Uganda,Untiered - Unrestricted,TRUE
Ukraine,Untiered - Unrestricted,TRUE
United Arab Emirates (the),Developed Nations,TRUE
United Kingdom of Great Britain and Northern Ireland (the),Developed Nations,TRUE
United States Minor Outlying Islands (the),Untiered - Unrestricted,TRUE
United States of America (the),Tier 3,TRUE
Uruguay,Untiered - Unrestricted,TRUE
Uzbekistan,Untiered - Unrestricted,TRUE
Vanuatu,Untiered - Unrestricted,TRUE
Vatican City,Untiered - Unrestricted,TRUE
Venezuela (Bolivarian Republic of),Untiered - Unrestricted,TRUE
Vietnam,Tier 1,TRUE
Virgin Islands (British),Untiered - Unrestricted,TRUE
Virgin Islands (U.S.),Untiered - Unrestricted,TRUE
Wales,Developed Nations,TRUE
Wallis and Futuna,Untiered - Unrestricted,TRUE
Western Sahara*,Untiered - Unrestricted,TRUE
Yemen,Untiered - Restricted,TRUE
"Yugoslavia, Federal Republic",Untiered - Restricted,FALSE
Zambia,Untiered - Restricted,TRUE
Zimbabwe,Untiered - Restricted,TRUE
