Name,hed__Active__c,hed__Asynchronous__c,hed__Class__c,hed__Filter_Field__c,hed__Filter_Value__c,hed__Load_Order__c,hed__Object__c,hed__Owned_by_Namespace__c,hed__Trigger_Action__c,hed__User_Managed__c,hed__Usernames_to_Exclude__c
a0T9r000000042L,TRUE,FALSE,TERM_CourseOff_TDTM,,,1,Term__c,hed,AfterUpdate,FALSE,
a0T9r000000042M,TRUE,FALSE,CON_CannotDelete_TDTM,,,1,Contact,hed,BeforeDelete,FALSE,
a0T9r000000042N,TRUE,FALSE,ACCT_CannotDelete_TDTM,,,1,Account,hed,BeforeDelete,FALSE,
a0T9r000000042O,TRUE,FALSE,ADDR_CannotDelete_TDTM,,,1,Address__c,hed,BeforeDelete,FALSE,
a0T9r000000042P,TRUE,FALSE,CENR_AcademicProgram_TDTM,,,1,Course_Enrollment__c,hed,BeforeInsert;BeforeUpdate,FALSE,
a0T9r000000042Q,FALSE,FALSE,CCON_Faculty_TDTM,,,1,Course_Enrollment__c,hed,BeforeInsert;AfterInsert;AfterUpdate;AfterDelete,TRUE,
a0T9r000000042R,TRUE,FALSE,PPlan_Primary_TDTM,,,1,Program_Plan__c,hed,AfterInsert;AfterUpdate,FALSE,
a0T9r000000042S,TRUE,FALSE,PPlan_CannotDelete_TDTM,,,1,Program_Plan__c,hed,BeforeDelete,FALSE,
a0T9r000000042T,TRUE,FALSE,PReq_CannotDelete_TDTM,,,1,Plan_Requirement__c,hed,BeforeDelete,FALSE,
a0T9r000000042U,TRUE,FALSE,PREN_ProgramPlan_TDTM,,,1,Program_Enrollment__c,hed,BeforeInsert,FALSE,
a0T9r000000042V,TRUE,FALSE,CLAN_PrimaryLanguage_TDTM,,,1,Contact_Language__c,hed,AfterInsert;AfterUpdate;AfterDelete,FALSE,
a0T9r000000042W,TRUE,FALSE,CON_PrimaryLanguage_TDTM,,,5,Contact,hed,AfterInsert;AfterUpdate,FALSE,
a0T9r000000042X,TRUE,FALSE,COS_StartEndTime_TDTM,,,1,Course_Offering_Schedule__c,hed,BeforeInsert;BeforeUpdate,FALSE,
a0T9r000000042Y,TRUE,FALSE,TB_StartEndTime_TDTM,,,1,Time_Block__c,hed,AfterUpdate,FALSE,
a0T9r000000042Z,TRUE,FALSE,PREQ_PreventPPlanParent_TDTM,,,1,Plan_Requirement__c,hed,AfterInsert;AfterUpdate,FALSE,
a0T9r000000042a,TRUE,FALSE,ATTD_CourseConnectionContact_TDTM,,,1,Attendance_Event__c,hed,AfterInsert;AfterUpdate,FALSE,
a0T9r000000042b,TRUE,FALSE,TGRD_ValidateData_TDTM,,,1,Term_Grade__c,hed,BeforeInsert;BeforeUpdate,FALSE,
a0T9r000000042c,TRUE,FALSE,TERM_CannotDelete_TDTM,,,1,Term__c,hed,BeforeDelete,FALSE,
a0T9r000000042d,TRUE,FALSE,AFFL_CannotDelete_TDTM,,,1,Affiliation__c,hed,BeforeDelete,FALSE,
a0T9r000000042e,TRUE,FALSE,TST_CannotDelete_TDTM,,,1,Test__c,hed,BeforeDelete,FALSE,
a0T9r000000042f,TRUE,FALSE,CCON_PreventUpdate_TDTM,,,1,Course_Enrollment__c,hed,BeforeUpdate,FALSE,
a0T9r000000042g,TRUE,FALSE,COFF_CannotDelete_TDTM,,,1,Course_Offering__c,hed,BeforeDelete,FALSE,
a0T9r000000042h,TRUE,FALSE,CCON_CannotDelete_TDTM,,,1,Course_Enrollment__c,hed,BeforeDelete,FALSE,
a0T9r000000042i,TRUE,FALSE,CASE_CannotDelete_TDTM,,,1,Case,hed,BeforeDelete,FALSE,
a0T9r000000042j,TRUE,FALSE,BEH_CannotDelete_TDTM,,,1,Behavior_Involvement__c,hed,BeforeDelete,FALSE,
a0T9r000000042k,TRUE,FALSE,FACI_CannotDelete_TDTM,,,1,Facility__c,hed,BeforeDelete,FALSE,
a0T9r000000042l,TRUE,FALSE,PREN_CannotDelete_TDTM,,,1,Program_Enrollment__c,hed,BeforeDelete,FALSE,
a0T9r000000042m,TRUE,FALSE,COUR_CannotDelete_TDTM,,,1,Course__c,hed,BeforeDelete,FALSE,
a0T9r000000042n,TRUE,FALSE,TB_CannotDelete_TDTM,,,1,Time_Block__c,hed,BeforeDelete,FALSE,
a0T9r000000042o,TRUE,FALSE,Application_TDTM,,,1,Application__c,hed,BeforeInsert;BeforeUpdate,FALSE,
