$$Pricebook2.Name$Product2.Name,Id,IsActive,Pricebook2.Name,Pricebook2Id,Product2.Name,Product2Id,UnitPrice
Standard Price Book;Trust Management: Unlocking a Unique Source of Competitive Advantage in the Digi,01u8q000000YZufAAG,false,Standard Price Book,01s5g0000014NeIAAU,Trust Management: Unlocking a Unique Source of Competitive Advantage in the Digi,01t8q000000Eu1mAAC,880
Standard Price Book;Using Design Thinking to Create Place-based Social Change,01u8q000000YZugAAG,false,Standard Price Book,01s5g0000014NeIAAU,Using Design Thinking to Create Place-based Social Change,01t8q000000Eu1nAAC,535
Standard Price Book;Enterprise Leadership - Leading in the Government Context,01u8q000000YZupAAG,false,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Leading in the Government Context,01t8q000000Eu1wAAC,1950
Standard Price Book;Health Planning and Evaluation with Assessment,01u8q000000YZuwAAG,false,Standard Price Book,01s5g0000014NeIAAU,Health Planning and Evaluation with Assessment,01t8q000000Eu23AAC,2905
Standard Price Book;Leadership of Quality and Safety in Health Care with Assessment,01u8q000000YZuxAAG,false,Standard Price Book,01s5g0000014NeIAAU,Leadership of Quality and Safety in Health Care with Assessment,01t8q000000Eu24AAC,2905
Standard Price Book;Disaster Response and Recovery with Assessment,01u8q000000YZuyAAG,false,Standard Price Book,01s5g0000014NeIAAU,Disaster Response and Recovery with Assessment,01t8q000000Eu25AAC,2905
Standard Price Book;Leadership In Health Management with Assessment,01u8q000000YZv0AAG,false,Standard Price Book,01s5g0000014NeIAAU,Leadership In Health Management with Assessment,01t8q000000Eu27AAC,2905
Standard Price Book;CT Anatomy for Radiation Therapy,01u8q000000Ya5bAAC,false,Standard Price Book,01s5g0000014NeIAAU,CT Anatomy for Radiation Therapy,01t8q000000Eu9bAAC,330
Standard Price Book;Psychology of Decision Making,01u8q000000Ya5iAAC,false,Standard Price Book,01s5g0000014NeIAAU,Psychology of Decision Making,01t8q000000Eu9iAAC,264
Standard Price Book;The Strategic Accountant,01u8q000000Yb1KAAS,false,Standard Price Book,01s5g0000014NeIAAU,The Strategic Accountant,01t8q000000EvSSAA0,660
Standard Price Book;Modern Chinese Language Course - Information Session,01u8q000000YeRWAA0,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course - Information Session,01t8q000000F05cAAC,1
Standard Price Book;Modern Chinese Language Course: Level 9,01u8q000000YeSFAA0,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 9,01t8q000000F05hAAC,470
Standard Price Book;Strategic Leadership of Supplier Relationships,01u8q000000YgEDAA0,false,Standard Price Book,01s5g0000014NeIAAU,Strategic Leadership of Supplier Relationships,01t8q000000F20jAAC,264
Standard Price Book;Strategically Managing Project Risk,01u8q000000YgENAA0,false,Standard Price Book,01s5g0000014NeIAAU,Strategically Managing Project Risk,01t8q000000F20oAAC,264
Standard Price Book;Strategic Workforce Planning,01u8q000000YgEXAA0,false,Standard Price Book,01s5g0000014NeIAAU,Strategic Workforce Planning,01t8q000000F20tAAC,264
Standard Price Book;Procurement Practices in Defence,01u8q000000YgEhAAK,false,Standard Price Book,01s5g0000014NeIAAU,Procurement Practices in Defence,01t8q000000F20yAAC,264
Standard Price Book;Strategic Intellectual Property Management in Defence Procurement,01u8q000000YgFGAA0,false,Standard Price Book,01s5g0000014NeIAAU,Strategic Intellectual Property Management in Defence Procurement,01t8q000000F21IAAS,264
Standard Price Book;Systems Engineering Leadership,01u8q000000YgFaAAK,false,Standard Price Book,01s5g0000014NeIAAU,Systems Engineering Leadership,01t8q000000F21XAAS,264
Standard Price Book;Sourcing and Contracting Strategies in Defence Projects,01u8q000000YgFkAAK,false,Standard Price Book,01s5g0000014NeIAAU,Sourcing and Contracting Strategies in Defence Projects,01t8q000000F21mAAC,264
Standard Price Book;Introduction to Quality Management in Health,01u8q000000Z1ztAAC,false,Standard Price Book,01s5g0000014NeIAAU,Introduction to Quality Management in Health,01t8q000000EyXBAA0,2325
Standard Price Book;Allied Health Prescribing,01u8q000000Z36wAAC,false,Standard Price Book,01s5g0000014NeIAAU,Allied Health Prescribing,01t8q000000F6k2AAC,1
Standard Price Book;Disaster Planning and Preparedness,01u8q000000Z47RAAS,false,Standard Price Book,01s5g0000014NeIAAU,Disaster Planning and Preparedness,01t8q000000EyX5AAK,2325
Standard Price Book;Disaster Planning and Preparedness with Assessment,01u8q000000Z47bAAC,false,Standard Price Book,01s5g0000014NeIAAU,Disaster Planning and Preparedness with Assessment,01t8q000000EyX6AAK,2905
Standard Price Book;Introduction to Disaster Risk Management,01u8q000000Z4A7AAK,false,Standard Price Book,01s5g0000014NeIAAU,Introduction to Disaster Risk Management,01t8q000000EyX9AAK,2325
Standard Price Book;Introduction to Disaster Risk Management with Assessment,01u8q000000Z4AHAA0,false,Standard Price Book,01s5g0000014NeIAAU,Introduction to Disaster Risk Management with Assessment,01t8q000000EyXAAA0,2905
Standard Price Book;Introduction to Quality Management in Health with Assessment,01u8q000000Z4AWAA0,false,Standard Price Book,01s5g0000014NeIAAU,Introduction to Quality Management in Health with Assessment,01t8q000000EyXCAA0,2905
Standard Price Book;The Future of Human Resources: Unlocking Human Potential,01u8q000000Z5MeAAK,false,Standard Price Book,01s5g0000014NeIAAU,The Future of Human Resources: Unlocking Human Potential,01t8q000000FA4bAAG,880
Standard Price Book;Modern Chinese Language Course: Level 10,01u8q000000Z5PnAAK,false,Standard Price Book,01s5g0000014NeIAAU,Modern Chinese Language Course: Level 10,01t8q000000FAAyAAO,470
Standard Price Book;Essentials of Personalised Medicine for Health Professionals with Assessment,01u8q000000Z6v6AAC,false,Standard Price Book,01s5g0000014NeIAAU,Essentials of Personalised Medicine for Health Professionals with Assessment,01t8q000000FBbZAAW,250
Standard Price Book;Senior Executive Education Program in Digital Transformation for the Public Sector,01u8q000000Z74IAAS,false,Standard Price Book,01s5g0000014NeIAAU,Senior Executive Education Program in Digital Transformation for the Public Sector,01t8q000000FBlNAAW,2000
Standard Price Book;DCHDE: ELP - Actioning Strategic Innovation,01u8q000000Z807AAC,false,Standard Price Book,01s5g0000014NeIAAU,DCHDE: ELP - Actioning Strategic Innovation,01t8q000000FCReAAO,880
Standard Price Book;Trainee Solicitor Program: Supplementary training,01u8q000000Z8HdAAK,false,Standard Price Book,01s5g0000014NeIAAU,Trainee Solicitor Program: Supplementary training,01t8q000000FD06AAG,1584
Standard Price Book;Social Impact Evaluation Principles and Practices: Workshop,01uOm000000PO5bIAG,false,Standard Price Book,01s5g0000014NeIAAU,Social Impact Evaluation Principles and Practices: Workshop,01tOm0000005ZQ9IAM,35
Standard Price Book;Non Award Module,01u8q000000YSyvAAG,true,Standard Price Book,01s5g0000014NeIAAU,Non Award Module,01t8q000000EjSRAA0,500
Standard Price Book;Award Unit,01u8q000000YSywAAG,true,Standard Price Book,01s5g0000014NeIAAU,Award Unit,01t8q000000EjSSAA0,500
Standard Price Book;Activity,01u8q000000YSyxAAG,true,Standard Price Book,01s5g0000014NeIAAU,Activity,01t8q000000EjSTAA0,500
Standard Price Book;Professional Advantage,01u8q000000YSyyAAG,true,Standard Price Book,01s5g0000014NeIAAU,Professional Advantage,01t8q000000EjSUAA0,500
Standard Price Book;Individual Coaching,01u8q000000YSyzAAG,true,Standard Price Book,01s5g0000014NeIAAU,Individual Coaching,01t8q000000EjSVAA0,500
Standard Price Book;Group Coaching,01u8q000000YSz0AAG,true,Standard Price Book,01s5g0000014NeIAAU,Group Coaching,01t8q000000EjSWAA0,500
Standard Price Book;Diagnostic Tools,01u8q000000YSz1AAG,true,Standard Price Book,01s5g0000014NeIAAU,Diagnostic Tools,01t8q000000EjSXAA0,500
Standard Price Book;Mentoring,01u8q000000YSz2AAG,true,Standard Price Book,01s5g0000014NeIAAU,Mentoring,01t8q000000EjSYAA0,500
Standard Price Book;Educational Consultancy,01u8q000000YSz3AAG,true,Standard Price Book,01s5g0000014NeIAAU,Educational Consultancy,01t8q000000EjSZAA0,500
Standard Price Book;High Impact Projects,01u8q000000YSz4AAG,true,Standard Price Book,01s5g0000014NeIAAU,High Impact Projects,01t8q000000EjSaAAK,500
Standard Price Book;Content Development,01u8q000000YSz5AAG,true,Standard Price Book,01s5g0000014NeIAAU,Content Development,01t8q000000EjSbAAK,500
Standard Price Book;Evaluation,01u8q000000YSz6AAG,true,Standard Price Book,01s5g0000014NeIAAU,Evaluation,01t8q000000EjScAAK,500
Standard Price Book;Venue,01u8q000000YSz7AAG,true,Standard Price Book,01s5g0000014NeIAAU,Venue,01t8q000000EjSdAAK,500
Standard Price Book;Catering,01u8q000000YSz8AAG,true,Standard Price Book,01s5g0000014NeIAAU,Catering,01t8q000000EjSeAAK,500
Standard Price Book;Other,01u8q000000YSz9AAG,true,Standard Price Book,01s5g0000014NeIAAU,Other,01t8q000000EjSfAAK,500
Standard Price Book;Innovative Thinking for Teachers & School Leaders: Module Plus,01u8q000000YZtfAAG,true,Standard Price Book,01s5g0000014NeIAAU,Innovative Thinking for Teachers & School Leaders: Module Plus,01t8q000000Eu0mAAC,655
Standard Price Book;Creating Apps in the Classroom: Module Plus,01u8q000000YZtgAAG,true,Standard Price Book,01s5g0000014NeIAAU,Creating Apps in the Classroom: Module Plus,01t8q000000Eu0nAAC,654.5
Standard Price Book;Inclusive Education: Core concepts and essential knowledge: Module Plus,01u8q000000YZthAAG,true,Standard Price Book,01s5g0000014NeIAAU,Inclusive Education: Core concepts and essential knowledge: Module Plus,01t8q000000Eu0oAAC,654.5
Standard Price Book;Teaching Students who have suffered Complex trauma: Module Plus,01u8q000000YZtiAAG,true,Standard Price Book,01s5g0000014NeIAAU,Teaching Students who have suffered Complex trauma: Module Plus,01t8q000000Eu0pAAC,674
Standard Price Book;AMP it Up! Drama,01u8q000000YZtkAAG,true,Standard Price Book,01s5g0000014NeIAAU,AMP it Up! Drama,01t8q000000Eu0rAAC,615
Standard Price Book;AMP it Up! Visual Art,01u8q000000YZtlAAG,true,Standard Price Book,01s5g0000014NeIAAU,AMP it Up! Visual Art,01t8q000000Eu0sAAC,615
Standard Price Book;Associate Fellow (Indigenous Knowledges) of the Higher Education Academy,01u8q000000YZtmAAG,true,Standard Price Book,01s5g0000014NeIAAU,Associate Fellow (Indigenous Knowledges) of the Higher Education Academy,01t8q000000Eu0tAAC,1000
Standard Price Book;AusHSI Health Statistics Refresher,01u8q000000YZtnAAG,true,Standard Price Book,01s5g0000014NeIAAU,AusHSI Health Statistics Refresher,01t8q000000Eu0uAAC,550
Standard Price Book;Building a High-Performing Team: The Eight Characteristics of Winning Teams,01u8q000000YZtoAAG,true,Standard Price Book,01s5g0000014NeIAAU,Building a High-Performing Team: The Eight Characteristics of Winning Teams,01t8q000000Eu0vAAC,990
Standard Price Book;Business Process Data Analytics,01u8q000000YZtpAAG,true,Standard Price Book,01s5g0000014NeIAAU,Business Process Data Analytics,01t8q000000Eu0wAAC,3120
Standard Price Book;Business Process Modelling with BPMN & Improvement,01u8q000000YZtrAAG,true,Standard Price Book,01s5g0000014NeIAAU,Business Process Modelling with BPMN & Improvement,01t8q000000Eu0yAAC,3200
Standard Price Book;CARRS-Q: Investigation & Treatment of Crash Locations,01u8q000000YZtsAAG,true,Standard Price Book,01s5g0000014NeIAAU,CARRS-Q: Investigation & Treatment of Crash Locations,01t8q000000Eu0zAAC,2100
Standard Price Book;CARRS-Q: Road Safety Audit,01u8q000000YZttAAG,true,Standard Price Book,01s5g0000014NeIAAU,CARRS-Q: Road Safety Audit,01t8q000000Eu10AAC,3150
Standard Price Book;Compelling Copywriting for Print & Digital,01u8q000000YZtuAAG,true,Standard Price Book,01s5g0000014NeIAAU,Compelling Copywriting for Print & Digital,01t8q000000Eu11AAC,990
Standard Price Book;Contract Law for Non-Lawyers,01u8q000000YZtvAAG,true,Standard Price Book,01s5g0000014NeIAAU,Contract Law for Non-Lawyers,01t8q000000Eu12AAC,2000
Standard Price Book;Creating Apps in the Classroom,01u8q000000YZtwAAG,true,Standard Price Book,01s5g0000014NeIAAU,Creating Apps in the Classroom,01t8q000000Eu13AAC,418
Standard Price Book;Data Analytics and Machine Learning for Decision Making,01u8q000000YZtyAAG,true,Standard Price Book,01s5g0000014NeIAAU,Data Analytics and Machine Learning for Decision Making,01t8q000000Eu15AAC,880
Standard Price Book;Empowered Decision Making,01u8q000000YZu0AAG,true,Standard Price Book,01s5g0000014NeIAAU,Empowered Decision Making,01t8q000000Eu17AAC,990
Standard Price Book;Developing Emotional Intelligence,01u8q000000YZu1AAG,true,Standard Price Book,01s5g0000014NeIAAU,Developing Emotional Intelligence,01t8q000000Eu18AAC,990
Standard Price Book;First Nations' Perspectives for Teaching and Learning,01u8q000000YZu4AAG,true,Standard Price Book,01s5g0000014NeIAAU,First Nations' Perspectives for Teaching and Learning,01t8q000000Eu1BAAS,77
Standard Price Book;Human Factors and Ergonomics,01u8q000000YZu6AAG,true,Standard Price Book,01s5g0000014NeIAAU,Human Factors and Ergonomics,01t8q000000Eu1DAAS,2376
Standard Price Book;Inclusive Education: Core concepts and essential knowledge,01u8q000000YZu7AAG,true,Standard Price Book,01s5g0000014NeIAAU,Inclusive Education: Core concepts and essential knowledge,01t8q000000Eu1EAAS,430
Standard Price Book;Indigenous Perspectives and Knowledges in Learning & Teaching,01u8q000000YZu9AAG,true,Standard Price Book,01s5g0000014NeIAAU,Indigenous Perspectives and Knowledges in Learning & Teaching,01t8q000000Eu1GAAS,660
Standard Price Book;Innovative Thinking for Teachers & School Leaders,01u8q000000YZuAAAW,true,Standard Price Book,01s5g0000014NeIAAU,Innovative Thinking for Teachers & School Leaders,01t8q000000Eu1JAAS,418
Standard Price Book;Leadership in Disaster Management,01u8q000000YZuBAAW,true,Standard Price Book,01s5g0000014NeIAAU,Leadership in Disaster Management,01t8q000000Eu1HAAS,2376
Standard Price Book;Leadership in the Digital Age,01u8q000000YZuDAAW,true,Standard Price Book,01s5g0000014NeIAAU,Leadership in the Digital Age,01t8q000000Eu1LAAS,880
"Standard Price Book;Leadership, Coaching & Culture",01u8q000000YZuFAAW,true,Standard Price Book,01s5g0000014NeIAAU,"Leadership, Coaching & Culture",01t8q000000Eu1NAAS,990
Standard Price Book;Leading Change and Growth Through the power of conversation,01u8q000000YZuGAAW,true,Standard Price Book,01s5g0000014NeIAAU,Leading Change and Growth Through the power of conversation,01t8q000000Eu1OAAS,990
Standard Price Book;Lean Six Sigma Green Belt - Virtual,01u8q000000YZuHAAW,true,Standard Price Book,01s5g0000014NeIAAU,Lean Six Sigma Green Belt - Virtual,01t8q000000Eu1PAAS,3120
Standard Price Book;Lean Six Sigma Green Belt,01u8q000000YZuIAAW,true,Standard Price Book,01s5g0000014NeIAAU,Lean Six Sigma Green Belt,01t8q000000Eu1QAAS,3200
Standard Price Book;Mastering Data Visualisation for Marketing and Communications,01u8q000000YZuJAAW,true,Standard Price Book,01s5g0000014NeIAAU,Mastering Data Visualisation for Marketing and Communications,01t8q000000Eu1RAAS,990
Standard Price Book;Maximising your Influence as a Leader,01u8q000000YZuKAAW,true,Standard Price Book,01s5g0000014NeIAAU,Maximising your Influence as a Leader,01t8q000000Eu1SAAS,990
Standard Price Book;Mentoring Beginning Teachers,01u8q000000YZuLAAW,true,Standard Price Book,01s5g0000014NeIAAU,Mentoring Beginning Teachers,01t8q000000Eu1TAAS,418
Standard Price Book;Planning Professional Presentations,01u8q000000YZuUAAW,true,Standard Price Book,01s5g0000014NeIAAU,Planning Professional Presentations,01t8q000000Eu1cAAC,880
Standard Price Book;Rhythm and Movement for Self-Regulation,01u8q000000YZuVAAW,true,Standard Price Book,01s5g0000014NeIAAU,Rhythm and Movement for Self-Regulation,01t8q000000Eu1dAAC,430
Standard Price Book;Social Impact Evaluation Principles and Practices,01u8q000000YZuWAAW,true,Standard Price Book,01s5g0000014NeIAAU,Social Impact Evaluation Principles and Practices,01t8q000000Eu1eAAC,550
Standard Price Book;Strategic Business Process Management,01u8q000000YZuXAAW,true,Standard Price Book,01s5g0000014NeIAAU,Strategic Business Process Management,01t8q000000Eu1fAAC,3120
Standard Price Book;Teaching Phonics in Early Childhood,01u8q000000YZuaAAG,true,Standard Price Book,01s5g0000014NeIAAU,Teaching Phonics in Early Childhood,01t8q000000Eu1hAAC,430
Standard Price Book;Teaching Phonics in Early Childhood: Module Plus,01u8q000000YZubAAG,true,Standard Price Book,01s5g0000014NeIAAU,Teaching Phonics in Early Childhood: Module Plus,01t8q000000Eu1iAAC,674
Standard Price Book;Teaching Students who have Suffered Complex Trauma,01u8q000000YZucAAG,true,Standard Price Book,01s5g0000014NeIAAU,Teaching Students who have Suffered Complex Trauma,01t8q000000Eu1jAAC,430
Standard Price Book;The Psychology of Negotiation,01u8q000000YZueAAG,true,Standard Price Book,01s5g0000014NeIAAU,The Psychology of Negotiation,01t8q000000Eu1lAAC,990
Standard Price Book;Using Influence to be an Effective Negotiator,01u8q000000YZuhAAG,true,Standard Price Book,01s5g0000014NeIAAU,Using Influence to be an Effective Negotiator,01t8q000000Eu1oAAC,990
Standard Price Book;Enterprise Leadership - Leading Self & Others,01u8q000000YZuiAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Leading Self & Others,01t8q000000Eu1pAAC,1995
Standard Price Book;Enterprise Leadership - Actioning Strategic Innovation,01u8q000000YZujAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Actioning Strategic Innovation,01t8q000000Eu1qAAC,1995
Standard Price Book;Enterprise Leadership - Communicating for Results,01u8q000000YZukAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Communicating for Results,01t8q000000Eu1rAAC,1995
Standard Price Book;Enterprise Leadership - Leading Ethical Organisations,01u8q000000YZulAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Leading Ethical Organisations,01t8q000000Eu1sAAC,1950
Standard Price Book;Enterprise Leadership - Leading Strategic Initiatives,01u8q000000YZumAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Leading Strategic Initiatives,01t8q000000Eu1tAAC,1995
Standard Price Book;Enterprise Leadership - Delivery Complex Policy,01u8q000000YZunAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Delivery Complex Policy,01t8q000000Eu1uAAC,1950
Standard Price Book;Enterprise Leadership - Managing Stakeholder Relationships,01u8q000000YZuoAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Managing Stakeholder Relationships,01t8q000000Eu1vAAC,1995
Standard Price Book;Enterprise Leadership - Data & Information Literacy,01u8q000000YZuqAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Data & Information Literacy,01t8q000000Eu1xAAC,1950
Standard Price Book;Enterprise Leadership - Managing Talent & Succession,01u8q000000YZurAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Managing Talent & Succession,01t8q000000Eu1yAAC,1950
Standard Price Book;Enterprise Leadership - Leading for High Performance,01u8q000000YZusAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Leading for High Performance,01t8q000000Eu1zAAC,1995
Standard Price Book;Enterprise Leadership - Leader As Coach,01u8q000000YZutAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Leader As Coach,01t8q000000Eu20AAC,1995
Standard Price Book;Enterprise Leadership - Systems Thinking for Leaders,01u8q000000YZuuAAG,true,Standard Price Book,01s5g0000014NeIAAU,Enterprise Leadership - Systems Thinking for Leaders,01t8q000000Eu21AAC,1995
Standard Price Book;Indigenous Perspectives in Learning & Teaching & Associate Fellow (Indigenous) o,01u8q000000YZuvAAG,true,Standard Price Book,01s5g0000014NeIAAU,Indigenous Perspectives in Learning & Teaching & Associate Fellow (Indigenous) o,01t8q000000Eu22AAC,1950
Standard Price Book;Leadership in Disaster Management with Assessment,01u8q000000YZuzAAG,true,Standard Price Book,01s5g0000014NeIAAU,Leadership in Disaster Management with Assessment,01t8q000000Eu26AAC,2976
Standard Price Book;Human Factors and Ergonomics with Assessment,01u8q000000YZv1AAG,true,Standard Price Book,01s5g0000014NeIAAU,Human Factors and Ergonomics with Assessment,01t8q000000Eu28AAC,2976
Standard Price Book;QUTeX Fundamentals: Critical Thinking and Reasoning,01u8q000000Ya5aAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Critical Thinking and Reasoning,01t8q000000Eu9aAAC,150
Standard Price Book;QUTeX Fundamentals: Culturally Diverse Thinking & Perspectives,01u8q000000Ya5cAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Culturally Diverse Thinking & Perspectives,01t8q000000Eu9cAAC,150
Standard Price Book;QUTeX Fundamentals: Cyber Security for Non-Cyber Professionals,01u8q000000Ya5dAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Cyber Security for Non-Cyber Professionals,01t8q000000Eu9dAAC,150
Standard Price Book;QUTeX Fundamentals: Leading Complex Projects,01u8q000000Ya5eAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Leading Complex Projects,01t8q000000Eu9eAAC,150
Standard Price Book;QUTeX Fundamentals: Making Sense of Online Communities,01u8q000000Ya5fAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Making Sense of Online Communities,01t8q000000Eu9fAAC,264
Standard Price Book;QUTeX Fundamentals: Organisational Psychology,01u8q000000Ya5gAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Organisational Psychology,01t8q000000Eu9gAAC,150
Standard Price Book;QUTeX Fundamentals: Project Management Processes & Practices,01u8q000000Ya5hAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Project Management Processes & Practices,01t8q000000Eu9hAAC,150
Standard Price Book;QUTeX Fundamentals: Psychology of Teams,01u8q000000Ya5jAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Psychology of Teams,01t8q000000Eu9jAAC,150
Standard Price Book;QUTeX Fundamentals: Developing a Roadmap for Procurement Success,01u8q000000Ya5kAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Developing a Roadmap for Procurement Success,01t8q000000Eu9kAAC,150
Standard Price Book;QUTeX Fundamentals: Information Technology: Artificial Intelligence,01u8q000000Ya5lAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Information Technology: Artificial Intelligence,01t8q000000Eu9lAAC,150
Standard Price Book;QUTeX Fundamentals: Information Technology: VR & AR,01u8q000000Ya5mAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Information Technology: VR & AR,01t8q000000Eu9mAAC,150
Standard Price Book;QUTeX Fundamentals: Lean Thinking,01u8q000000Ya5nAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Lean Thinking,01t8q000000Eu9nAAC,150
Standard Price Book;QUTeX Fundamentals: Managing People,01u8q000000Ya5oAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Managing People,01t8q000000Eu9oAAC,150
Standard Price Book;QUTeX Fundamentals: Organisational Design,01u8q000000Ya5pAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Organisational Design,01t8q000000Eu9pAAC,150
Standard Price Book;QUTeX Fundamentals: Project & People,01u8q000000Ya5qAAC,true,Standard Price Book,01s5g0000014NeIAAU,QUTeX Fundamentals: Project & People,01t8q000000Eu9qAAC,150
