Description,Family,Id,IsActive,Name
Draw from your understanding of the characteristics of the autism spectrum and Universal Design for Learning (UDL) to develop a plan using inclusive strategies for learners on the autism spectrum.,Education,01t8q000000Eu0qAAC,false,Inclusive Strategies for the Autism Spectrum: Module Plus
"An eight-week professional development experience for primary school arts teachers, to build knowledge and skills in the arts discipline of drama and in an Arts Immersion approach, under the direction of specialist education and creative industries experts from QUT.",Education,01t8q000000Eu0rAAC,true,AMP it Up! Drama
"A professional development experience for primary school arts teachers, to build knowledge and skills in the arts discipline of visual arts and in an Arts Immersion approach, under the direction of specialist education experts from QUT.",Education,01t8q000000Eu0sAAC,true,AMP it Up! Visual Art
This course provides a pathway to apply for the world-first accredited specialist Associate Fellow (Indigenous Knowledges) of the HEA which recognises your effective integration of Indigenous perspectives in higher education.,Education,01t8q000000Eu0tAAC,true,Associate Fellow (Indigenous Knowledges) of the Higher Education Academy
This short course will cover many of the common mistakes in statistical practice in health and medical research.,Education,01t8q000000Eu0uAAC,true,AusHSI Health Statistics Refresher
Learn the secrets of the All Blacks winning team formula and spark your team's high-performance potential.,Education,01t8q000000Eu0vAAC,true,Building a High-Performing Team: The Eight Characteristics of Winning Teams
"Elevate your business skillset to distil powerful, data-driven insights and improve business processes.",Education,01t8q000000Eu0wAAC,true,Business Process Data Analytics
"Boost your knowledge of process modelling and improve business processes by mastering real-world techniques to identify, analyse, and improve processes.",Education,01t8q000000Eu0xAAC,false,Business Process Modelling with BPMN & Improvement - Virtual
"Boost your knowledge of process modelling and improve business processes by mastering real-world techniques to identify, analyse, and improve processes.",Education,01t8q000000Eu0yAAC,true,Business Process Modelling with BPMN & Improvement
Develop your skills in road safety and injury prevention interventions.,Education,01t8q000000Eu0zAAC,true,CARRS-Q: Investigation & Treatment of Crash Locations
Develop your skills in road safety and injury prevention interventions.,Education,01t8q000000Eu10AAC,true,CARRS-Q: Road Safety Audit
Learn how to craft engaging copy across print and digital formats.,Education,01t8q000000Eu11AAC,true,Compelling Copywriting for Print & Digital
Understand the basics of contract law and be confident in your handling and making of contracts.,Education,01t8q000000Eu12AAC,true,Contract Law for Non-Lawyers
Build an app customised to the learning needs of your students.,Education,01t8q000000Eu13AAC,true,Creating Apps in the Classroom
Learn how to produce publications that your stakeholders will actually enjoy.,Education,01t8q000000Eu14AAC,false,Creating Publications that Cut Through and Inspire Action
"Know your customers, your teams and your organisation using data analytics.",Education,01t8q000000Eu15AAC,true,Data Analytics and Machine Learning for Decision Making
"For managers, leaders and staff of nonprofit organisations and social enterprises who want to communicate more effectively with stakeholders.",Education,01t8q000000Eu16AAC,false,Introduction to Storytelling with Data
Discover the tools and techniques to aid confident and effective decision-making.,Education,01t8q000000Eu17AAC,true,Empowered Decision Making
"Evolve your emotional intelligence to foster successful workplace relationship, increase productivity and kick personal and organisational goals.",Education,01t8q000000Eu18AAC,true,Developing Emotional Intelligence
Develop the skills to assist organisations and communities to respond to and recover from disasters and major incidents.,Education,01t8q000000Eu19AAC,false,Disaster Response and Recovery
"How to read, analyse and interpret financial information and assist in future decision-making.",Education,01t8q000000Eu1AAAS,false,Financial Literacy for Public Sector Business Managers
"Develop an action plan to embed Aboriginal and Torres Strait Islander perspectives into your early childhood service, classroom or school. Make your contribution to reconciliation and successful education experiences for all learners.",Education,01t8q000000Eu1BAAS,true,First Nations' Perspectives for Teaching and Learning
"This course introduces the principles and practice of integrated health planning, and evaluates the effectiveness of health policies, planning and services.",Education,01t8q000000Eu1CAAS,false,Health Planning and Evaluation
"Learn about the major individual, team and organisational factors relating to work system design and human performance in the workplace environment.",Education,01t8q000000Eu1DAAS,true,Human Factors and Ergonomics
Gain essential knowledge to make inclusive education work for all children and young people.,Education,01t8q000000Eu1EAAS,true,Inclusive Education: Core concepts and essential knowledge
Explore characteristics of learners on the autism spectrum and discover how to apply universal evidence-based strategies to support their learning in inclusive education environments.,Education,01t8q000000Eu1FAAS,false,Inclusive Strategies for the Autism spectrum
Explore ways to successfully engage with and integrate Indigenous Perspectives and Knowledges into your approaches to teaching and learning within a Tertiary Education context.,Education,01t8q000000Eu1GAAS,true,Indigenous Perspectives and Knowledges in Learning & Teaching
"What kind of leader will you be in a crisis? With increasing frequency of pandemics, climate-related disasters and other adverse events, there has never been a more important time to be prepared to lead your organisation through difficult times.",Education,01t8q000000Eu1HAAS,true,Leadership in Disaster Management
This short course is for boards and leaders who are governing and managing complex problems and work with a diverse set of needs and interests. It is important for those people wishing to lead cultural or systems change.,Education,01t8q000000Eu1IAAS,false,Being Strategic: Thinking and acting with impact
Build the capabilities to bring to life ideas and opportunities in your educational context.,Education,01t8q000000Eu1JAAS,true,Innovative Thinking for Teachers & School Leaders
This course provides you with the knowledge and competencies to enable you to cope with the complex and changing environment of health care delivery.,Education,01t8q000000Eu1KAAS,false,Leadership In Health Management
Bolster your leadership capabilities to take advantage of today's opportunity-rich digital environment.,Education,01t8q000000Eu1LAAS,true,Leadership in the Digital Age
This course develops your ability to lead the implementation of effective quality and patient safety programs within a health care setting.,Education,01t8q000000Eu1MAAS,false,Leadership of Quality and Safety in Health Care
Supercharge your team's performance and workplace satisfaction by establishing a culture of coaching,Education,01t8q000000Eu1NAAS,true,"Leadership, Coaching & Culture"
Use conversational leadership to lead change in your organisation.,Education,01t8q000000Eu1OAAS,true,Leading Change and Growth Through the power of conversation
Bolster your decision making and streamline your business processes with the Lean Six Sigma DMAIC approach.,Education,01t8q000000Eu1PAAS,true,Lean Six Sigma Green Belt - Virtual
Bolster your decision making and streamline your business processes with the Lean Six Sigma DMAIC approach.,Education,01t8q000000Eu1QAAS,true,Lean Six Sigma Green Belt
Learn how to devise and create engaging infographics and data visualisations.,Education,01t8q000000Eu1RAAS,true,Mastering Data Visualisation for Marketing and Communications
Grow your existing capabilities to unmask your leadership potential and manage with influence.,Education,01t8q000000Eu1SAAS,true,Maximising your Influence as a Leader
"Learn how to share your practical skills and knowledge with beginning teachers, and help them build their practice and their confidence.",Education,01t8q000000Eu1TAAS,true,Mentoring Beginning Teachers
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000Eu1UAAS,false,Modern Chinese Language Course: Level 1
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000Eu1VAAS,false,Modern Chinese Language Course: Level 2
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000Eu1WAAS,false,Modern Chinese Language Course: Level 3
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000Eu1XAAS,false,Modern Chinese Language Course: Level 4
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000Eu1YAAS,false,Modern Chinese Language Course: Level 5
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000Eu1ZAAS,false,Modern Chinese Language Course: Level 6
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000Eu1aAAC,false,Modern Chinese Language Course: Level 7
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000Eu1bAAC,false,Modern Chinese Language Course: Level 8
Enhance your presentation skills using proven techniques and deliver presentations that pack a punch every time.,Education,01t8q000000Eu1cAAC,true,Planning Professional Presentations
Access a full curriculum of rhythm and movement sessions to support self-regulation and positive behaviour for children aged 2-8 years.,Education,01t8q000000Eu1dAAC,true,Rhythm and Movement for Self-Regulation
This course introduces the principles and practice of evaluating the effectiveness of program activities using evaluative and strategic thinking.,Education,01t8q000000Eu1eAAC,true,Social Impact Evaluation Principles and Practices
Drive innovation and performance in your organisation by boosting your strategic skills to lead a Business Process Management (BPM) program.,Education,01t8q000000Eu1fAAC,true,Strategic Business Process Management
"Designed for professionals from all sectors who write speeches, and seek to fine-tune their practice.",Education,01t8q000000Eu1gAAC,false,Successful Speechwriting
Learn how to support young children to develop their oral language and phonological and phonemic awareness.,Education,01t8q000000Eu1hAAC,true,Teaching Phonics in Early Childhood
Apply play-based strategies to develop young children’s oral language and phonological and phonemic awareness.,Education,01t8q000000Eu1iAAC,true,Teaching Phonics in Early Childhood: Module Plus
Become equipped with the right practices to support students impacted by trauma.,Education,01t8q000000Eu1jAAC,true,Teaching Students who have Suffered Complex Trauma
This workshop focuses on the power of coaching to energise sessions and contribute to organisational energy and productivity.,Education,01t8q000000Eu1kAAC,false,Team and Group Coaching: igniting organisational energy
Ensure you get your preferred outcome by securing your knowledge of psychological negotiation techniques.,Education,01t8q000000Eu1lAAC,true,The Psychology of Negotiation
Learn how to build and manage trust for a competitive edge.,Education,01t8q000000Eu1mAAC,false,Trust Management: Unlocking a Unique Source of Competitive Advantage in the Digi
Learn how to take a human-centered approach to your work by exploring the methodology known as design thinking.,Education,01t8q000000Eu1nAAC,false,Using Design Thinking to Create Place-based Social Change
"Whether it is your boss, a colleague in another team, stakeholder, customer, or a team member, using influencing strategies to negotiate is important to your success and career.",Education,01t8q000000Eu1oAAC,true,Using Influence to be an Effective Negotiator
Take charge of your personal and professional growth by discovering your leadership strengths and how to utilise them.,Education,01t8q000000Eu1pAAC,true,Enterprise Leadership - Leading Self & Others
Add value to your enterprise by constructing a toolkit to cultivate a habitual culture of innovation.,Education,01t8q000000Eu1qAAC,true,Enterprise Leadership - Actioning Strategic Innovation
Excellent communication skills are the cornerstone of successful leaders. Understand how to communicate effectively and grow your leadership capabilities.,Education,01t8q000000Eu1rAAC,true,Enterprise Leadership - Communicating for Results
,Education,01t8q000000Eu1sAAC,true,Enterprise Leadership - Leading Ethical Organisations
Expand your leadership capabilities to expertly deliver major change projects and successfully implement new initiatives in your organisation.,Education,01t8q000000Eu1tAAC,true,Enterprise Leadership - Leading Strategic Initiatives
,Education,01t8q000000Eu1uAAC,true,Enterprise Leadership - Delivery Complex Policy
"Upskill to foster productive stakeholder relationships which mitigate risks, align business goals and achieve mutually beneficial results.",Education,01t8q000000Eu1vAAC,true,Enterprise Leadership - Managing Stakeholder Relationships
,Education,01t8q000000Eu1wAAC,false,Enterprise Leadership - Leading in the Government Context
,Education,01t8q000000Eu1xAAC,true,Enterprise Leadership - Data & Information Literacy
,Education,01t8q000000Eu1yAAC,true,Enterprise Leadership - Managing Talent & Succession
Discover the secrets of high-performing teams and how to apply their practices to your workplace.,Education,01t8q000000Eu1zAAC,true,Enterprise Leadership - Leading for High Performance
"With the right tools and support, almost anybody can become a better coach.",Education,01t8q000000Eu20AAC,true,Enterprise Leadership - Leader As Coach
Gain a whole new perspective on the problems and opportunities of the world by grasping the mindset and toolkit of thinking in systems.,Education,01t8q000000Eu21AAC,true,Enterprise Leadership - Systems Thinking for Leaders
,Education,01t8q000000Eu22AAC,true,Indigenous Perspectives in Learning & Teaching & Associate Fellow (Indigenous) o
"This course introduces the principles and practice of integrated health planning, and evaluates the effectiveness of health policies, planning and services.",Education,01t8q000000Eu23AAC,false,Health Planning and Evaluation with Assessment
This course develops your ability to lead the implementation of effective quality and patient safety programs within a health care setting.,Education,01t8q000000Eu24AAC,false,Leadership of Quality and Safety in Health Care with Assessment
Develop the skills to assist organisations and communities to respond to and recover from disasters and major incidents.,Education,01t8q000000Eu25AAC,false,Disaster Response and Recovery with Assessment
"What kind of leader will you be in a crisis? With increasing frequency of pandemics, climate-related disasters and other adverse events, there has never been a more important time to be prepared to lead your organisation through difficult times.",Education,01t8q000000Eu26AAC,true,Leadership in Disaster Management with Assessment
This course provides you with the knowledge and competencies to enable you to cope with the complex and changing environment of health care delivery.,Education,01t8q000000Eu27AAC,false,Leadership In Health Management with Assessment
"Learn about the major individual, team and organisational factors relating to work system design and human performance in the workplace environment.",Education,01t8q000000Eu28AAC,true,Human Factors and Ergonomics with Assessment
"Develop your knowledge of how to construct, analyse, and critically evaluate arguments, how to detect common fallacies in reasoning, and how to think logically and creatively.",Education,01t8q000000Eu9aAAC,true,QUTeX Fundamentals: Critical Thinking and Reasoning
Re-familiarise yourself with CT image production and confidently interpret CT anatomy for a range of anatomical sites.,Education,01t8q000000Eu9bAAC,false,CT Anatomy for Radiation Therapy
"Develop your knowledge of cultural awareness, including the role media plays in cultural representation.",Education,01t8q000000Eu9cAAC,true,QUTeX Fundamentals: Culturally Diverse Thinking & Perspectives
Develop your knowledge to understand and manage cyber risks and practical measures to protect organisational assets for non-cyber professionals.,Education,01t8q000000Eu9dAAC,true,QUTeX Fundamentals: Cyber Security for Non-Cyber Professionals
Develop your knowledge of how to  understand the role of the complex project manager who lead high-performing project teams to deliver successful project outcomes.,Education,01t8q000000Eu9eAAC,true,QUTeX Fundamentals: Leading Complex Projects
"Develop your knowledge on the insights from psychology, sociology, anthropology and netnography to explore the emergence and impact of online communities.",Education,01t8q000000Eu9fAAC,true,QUTeX Fundamentals: Making Sense of Online Communities
Develop your knowledge and understanding of what organisational psychology is all about and how you can apply a psychological understanding of people in the workplace.,Education,01t8q000000Eu9gAAC,true,QUTeX Fundamentals: Organisational Psychology
Develop your knowledge to give you insights and skills which will allow you to build your project management abilities.,Education,01t8q000000Eu9hAAC,true,QUTeX Fundamentals: Project Management Processes & Practices
This module is designed to develop your understanding of how we make decisions and the impact this has on the decisions in in your workplace.,Education,01t8q000000Eu9iAAC,false,Psychology of Decision Making
Develop your knowledge to understand the psychology of small teams by exploring lessons learned from elite sporting teams.,Education,01t8q000000Eu9jAAC,true,QUTeX Fundamentals: Psychology of Teams
Develop your knowledge and understand where your procurement/supply team currently fits within your organisation.,Education,01t8q000000Eu9kAAC,true,QUTeX Fundamentals: Developing a Roadmap for Procurement Success
Develop your knowledge of how to investigate the methods of making computers more ‘intelligent’.,Education,01t8q000000Eu9lAAC,true,QUTeX Fundamentals: Information Technology: Artificial Intelligence
Develop your knowledge of how to understand the current application and potential of Virtual Reality (VR) and Augmented Reality (AR).,Education,01t8q000000Eu9mAAC,true,QUTeX Fundamentals: Information Technology: VR & AR
Develop your knowledge on the principles and tools associated with contemporary Lean Thinking and practice.,Education,01t8q000000Eu9nAAC,true,QUTeX Fundamentals: Lean Thinking
Develop your knowledge and understanding of what managing people is all about.,Education,01t8q000000Eu9oAAC,true,QUTeX Fundamentals: Managing People
Develop your knowledge and understanding of what organisational design is and the impacts of organisational design and structure on the way people work.,Education,01t8q000000Eu9pAAC,true,QUTeX Fundamentals: Organisational Design
"Develop your knowledge and encompasses human behaviour at the individual, project and organisational level, with particular focus on the requirements of project teams.",Education,01t8q000000Eu9qAAC,true,QUTeX Fundamentals: Project & People
"Develop your knowledge to explore how psychology has evolved as a science to understand how people think, feel, and behave.",Education,01t8q000000Eu9rAAC,true,QUTeX Fundamentals: Psychology
"Develop your knowledge to develop your capacity as a reflective, reasoned and resilient thinker.",Education,01t8q000000Eu9sAAC,true,QUTeX Fundamentals: Reflective and Resilient Thinking
Develop foundational knowledge of contemporary Information Technology.,Education,01t8q000000Eu9tAAC,true,QUTeX Fundamentals: Understanding 'Digital' for the Modern Organisation
Develop your knowledge and understanding of the field of Organisational Behaviour (OB) and how you can apply the findings from research in this area to your work.,Education,01t8q000000Eu9uAAC,true,QUTeX Fundamentals: Understanding Organisational Behaviour
Learn how to use simple rhythm and movement activities to support positive behaviour for children aged 2-8 years.,Education,01t8q000000Eu9vAAC,true,Rhythm and Movement for Self-Regulation: An Introduction
"Develop your knowledge and develop skills to design, deliver and implement high-value strategic IT-enabled business innovations that has a customer-centric focus.",Education,01t8q000000Eu9wAAC,true,QUTeX Fundamentals: Strategic It-Enabled Innovation
Set yourself up for success and excel in QUTeX Trainee Solicitors Program for admission to the Supreme Court of Queensland as a legal practitioner. Complete your 90 hours of approved training or fill gaps in your workplace training with supplementary training.,Education,01t8q000000Eu9xAAC,true,Trainee Solicitors Program: Core Units
Gain the tools and knowledge to become an effective Queensland Government digital project board committee member.,Education,01t8q000000EvSQAA0,true,Digital Project Board Governance: Masterclass
Gain the tools and knowledge to become an effective Queensland Government digital project board committee member.,Education,01t8q000000EvSRAA0,true,Digital Project Board Governance: Microcredential
Challenge your thinking on how your practice deals with the impacts of technology disruption and how to re-invent your value proposition for your clients.,Education,01t8q000000EvSSAA0,false,The Strategic Accountant
"Participants in this short course will develop an understanding of health law, health ethics and the relationships between the two.",Education,01t8q000000EwvPAAS,true,Health Care Law and Ethics
Advance your knowledge of general surgical anatomy by examining clinical case studies and observing practical demonstrations and surgical dissections.,Education,01t8q000000EyWqAAK,true,General Surgical Anatomy Course
,Education,01t8q000000EyWrAAK,true,Authentic Communication for Leaders
,Education,01t8q000000EyWsAAK,true,Design Thinking for Improved Service Delivery
,Education,01t8q000000EyWtAAK,true,Enabling Transformation through Innovation
,Education,01t8q000000EyWuAAK,true,Global Executive Roundtable Series: Business Impact from Learning
,Education,01t8q000000EyWvAAK,true,Making Descisions with Data
a,Education,01t8q000000EyWwAAK,false,The Use of Big data for Decision Making
Develop applied skills in cost-effectiveness analysis for decision making in health care settings.,Education,01t8q000000EyWxAAK,false,AusHSI Developing Applied Skills in Cost-Effectiveness Analysis - 1 day
Develop applied skills in cost-effectiveness analysis for decision making in health care settings.,Education,01t8q000000EyWyAAK,false,AusHSI Developing Applied Skills in Cost-Effectiveness Analysis - 3 days
,Education,01t8q000000EyWzAAK,true,AusHSI Knowledge Translation 3 day Workshop Implementing Evidence into Practice
,Education,01t8q000000EyX0AAK,true,Unlocking the Power of Strategic Thinking In Nonprofit Organisations
,Education,01t8q000000EyX1AAK,true,Professional Mediation: Mediation
,Education,01t8q000000EyX2AAK,true,Professional Mediation: National Mediation Assessment
,Education,01t8q000000EyX3AAK,true,Palliative Care Nursing in Various Contexts
Gain the knowledge and skills to meet the health needs of people with a variety of eye disorders.,Education,01t8q000000EyX4AAK,true,Principles of Ophthalmic Nursing: Registered Nurses
This course examines how communities and organisations develop and implement policy for disaster management.,Education,01t8q000000EyX5AAK,false,Disaster Planning and Preparedness
This course examines how communities and organisations develop and implement policy for disaster management.,Education,01t8q000000EyX6AAK,false,Disaster Planning and Preparedness with Assessment
,Education,01t8q000000EyX7AAK,true,Health Care Law and Ethics
Gain an in-depth understanding of implementation and improvement science to inform the optimal update and adoption of health policies and evidence-based initiatives within healthcare.,Education,01t8q000000EyX8AAK,true,Implementation Science – Theory and Application in Health
"This course prepares you with the knowledge, skills and strategies required to manage health services in the event of a major incident or disaster.",Education,01t8q000000EyX9AAK,false,Introduction to Disaster Risk Management
"This course prepares you with the knowledge, skills and strategies required to manage health services in the event of a major incident or disaster.",Education,01t8q000000EyXAAA0,false,Introduction to Disaster Risk Management with Assessment
Gain an in-depth understanding of quality management and advanced skills in the development of quality management programs in clinical frameworks.,Education,01t8q000000EyXBAA0,false,Introduction to Quality Management in Health
Gain an in-depth understanding of quality management and advanced skills in the development of quality management programs in clinical frameworks.,Education,01t8q000000EyXCAA0,false,Introduction to Quality Management in Health with Assessment
a,Education,01t8q000000EyXDAA0,false,Teaching probability and stats: middle years
"Intensive professional development for primary school arts teachers, to design and plan a year-long program in one or two arts subjects under the direction of specialist education and creative industries experts from QUT.",Education,01t8q000000EyXEAA0,true,Arts Boot Camp: Drama
a,Education,01t8q000000EyXFAA0,false,Bullying in schools: What can teachers do?
,Education,01t8q000000EyXGAA0,true,Bullying in schools: What can teachers do?: Module Plus
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000F05cAAC,false,Modern Chinese Language Course - Information Session
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000F05hAAC,false,Modern Chinese Language Course: Level 9
"QUT’s Enterprise Leadership Program provides a flexible pathway for motivated managers and aspiring senior leaders to take their career to the next level. Learn to develop the confidence, frameworks, and capability needed to thrive in complex environments and lead successful business outcomes.",Education,01t8q000000F0sWAAS,true,Enterprise Leadership
This module is designed to provide you with an introductory overview of the Esports ecosystem.,Education,01t8q000000F1nbAAC,true,"Developing, Engaging, and Consuming Esports"
Learn how to use rhythm and movement to support positive behaviour for children aged 3-8 years old,Education,01t8q000000F1slAAC,true,Rhythm and Movement for Self-Regulation: Face to Face
"It is critical that program and project leaders develop essential
capabilities in being able to identify, create, build, and sustain long-term
strategic relationships built on trust to ensure the success of complex
projects. This course is designed to develop essential leadership and
relationship management capabilities that will enable participants to
select, develop, maintain, performance manage and secure contractual
relationships between project partners.",Education,01t8q000000F20jAAC,false,Strategic Leadership of Supplier Relationships
Examine the implications of systems thinking upon risk management,Education,01t8q000000F20oAAC,false,Strategically Managing Project Risk
This course addresses these challenges by focus on the core capability needs for effective workforce planning and contextualising them for the defence project environment.,Education,01t8q000000F20tAAC,false,Strategic Workforce Planning
Understand and managing customers and stakeholders within the Defence procurement environment.,Education,01t8q000000F20yAAC,false,Procurement Practices in Defence
"Understanding of the role, and best practice management, of IP in Defence projects.",Education,01t8q000000F21IAAS,false,Strategic Intellectual Property Management in Defence Procurement
Manage and lead diverse engineering and technical functional teams.,Education,01t8q000000F21XAAS,false,Systems Engineering Leadership
Develop sourcing and contracting strategies.,Education,01t8q000000F21mAAC,false,Sourcing and Contracting Strategies in Defence Projects
,Education,01t8q000000F6k2AAC,false,Allied Health Prescribing
"The Safe Prescribing and Quality Use of Medicines Program is designed to develop and support allied health professionals' knowledge, skills, and attributes to competently prescribe medicines within their scope of patient care as members of a multidisciplinary healthcare team.
The ongoing work to extend and expand scope of practice for allied health professionals means many health professionals need additional post-graduate training to meet the requirements to be a prescriber. This course is scaffolded upon pre-requisite clinical therapeutics knowledge through the completion of an approved post-graduate clinical therapeutics unit of study.",Education,01t8q000000F85OAAS,true,Safe Prescribing and Quality Use of Medicines
This course is designed to develop healthcare professionals' knowledge and skills of personalised medicine so that they can apply these concepts within their clinical practice in Australia. This will assist health professionals as we transition towards a precision healthcare.,Education,01t8q000000F85TAAS,false,Pharmacogenomics course
,Education,01t8q000000F8MwAAK,false,Medicinal Cannabis course
Gain a comprehensive overview of the several law and policy aspects of managing occupational health and safety,Education,01t8q000000F8jhAAC,true,Occupational Health and Safety Law and Policy
Welcome to the QUTeX Fundamentals online courses. These courses have been developed by the team at QUTeX and will take approximately 10-15 hours to complete.,Education,01t8q000000F986AAC,true,QUTeX Fundamentals
"Intensive professional development for primary school arts teachers, to design and plan a year-long program in one or two arts subjects under the direction of specialist education and creative industries experts from QUT.",Education,01t8q000000F9l5AAC,true,Arts Boot Camp: Visual Arts
"Intensive professional development for primary school arts teachers, to design and plan a year-long program in one or two arts subjects under the direction of specialist education and creative industries experts from QUT.",Education,01t8q000000F9lFAAS,true,Arts Boot Camp: Music
"Intensive professional development for primary school arts teachers, to design and plan a year-long program in one or two arts subjects under the direction of specialist education and creative industries experts from QUT.",Education,01t8q000000F9lKAAS,true,Arts Boot Camp: Media Arts
"Intensive professional development for primary school arts teachers, to design and plan a year-long program in one or two arts subjects under the direction of specialist education and creative industries experts from QUT.",Education,01t8q000000F9lPAAS,true,Arts Boot Camp
This course is designed to develop healthcare professionals' knowledge and skills of personalised medicine so that they can apply these concepts within their clinical practice in Australia. This will assist health professionals as we transition towards precision healthcare.,Education,01t8q000000FA3OAAW,true,Essentials of Personalised Medicine for Health Professionals
Learn how to unlock the full potential of employees through modern human resources practices in this 1 day course.,Education,01t8q000000FA4bAAG,false,The Future of Human Resources: Unlocking Human Potential
Improve your leadership skills and maximise your team's performance through empowerment techniques that break the proactive paradox,Education,01t8q000000FA4gAAG,true,Maximising Team Performance Through Empowerment
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000FAAyAAO,false,Modern Chinese Language Course: Level 10
The Confucius Institute at QUT is focused exclusively on Chinese language teaching and promotion of Chinese culture.,Education,01t8q000000FAK9AAO,false,Modern Chinese Language Courses
,Education,01t8q000000FAUcAAO,false,EzyQuip Strategic Leaders' Program
,Education,01t8q000000FAUhAAO,false,DISC Profile
,Education,01t8q000000FAUmAAO,false,Personal Leadership and Change
,Education,01t8q000000FAUrAAO,false,Commercial Acumen
,Education,01t8q000000FAUwAAO,false,Communicating for Results
This course is designed to develop healthcare professionals' knowledge and skills of personalised medicine so that they can apply these concepts within their clinical practice in Australia. This will assist health professionals as we transition towards a precision healthcare.,Education,01t8q000000FBbZAAW,false,Essentials of Personalised Medicine for Health Professionals with Assessment
"Hosted by AWS Institute, QUT and Digital Profession",Education,01t8q000000FBlNAAW,false,Senior Executive Education Program in Digital Transformation for the Public Sector
This information session is an opportunity to learn about QUT’s 2023 Pathways to Politics for Women Program,Education,01t8q000000FBofAAG,true,QUT Pathways to Politics for Women Program: 2023 Virtual Information
Add value to your enterprise by constructing a toolkit to cultivate a habitual culture of innovation.,Education,01t8q000000FBtNAAW,false,DCHDE Actioning Strategic Innovation – Professional Development Module
,Education,01t8q000000FBtSAAW,false,DCHDE Leader as Coach – Professional Development Module
Add value to your enterprise by constructing a toolkit to cultivate a habitual culture of innovation.,Education,01t8q000000FCReAAO,false,DCHDE: ELP - Actioning Strategic Innovation
Set yourself up for success and excel in QUTeX Trainee Solicitors Program for admission to the Supreme Court of Queensland as a legal practitioner. Complete your 90 hours of approved training or fill gaps in your workplace training with supplementary training.,Education,01t8q000000FD01AAG,true,Trainee Solicitors Program: Elective Units
n,Education,01t8q000000FD06AAG,false,Trainee Solicitor Program: Supplementary training
